entrez_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome
72,A_23_P39955,69,ACTG2,"actin, gamma 2, smooth muscle, enteric",72.0,2
81,A_23_P101655,78,ACTN4,"actinin, alpha 4",81.0,19
86,A_23_P69249,83,ACTL6A,actin-like 6A,86.0,3
87,A_23_P105957,84,ACTN1,"actinin, alpha 1",87.0,14
88,A_23_P115021,85,ACTN2,"actinin, alpha 2",88.0,1
89,A_23_P138881,86,ACTN3,"actinin, alpha 3",89.0,11
90,CUST_16199_PI416261804,87,ACVR1,"activin A receptor, type I",90.0,2
91,A_24_P341897,88,ACVR1B,"activin A receptor, type IB",91.0,12
92,CUST_16955_PI416261804,89,ACVR2A,"activin A receptor, type IIA",92.0,2
93,A_24_P231132,90,ACVR2B,"activin A receptor, type IIB",93.0,3
94,A_24_P945113,91,ACVRL1,activin A receptor type II-like 1,94.0,12
95,A_23_P57868,92,ACY1,aminoacylase 1,95.0,3
97,A_23_P163143,94,ACYP1,"acylphosphatase 1, erythrocyte (common) type",97.0,14
98,A_24_P336848,95,ACYP2,"acylphosphatase 2, muscle type",98.0,2
100,A_23_P210482,97,ADA,adenosine deaminase,100.0,20
101,CUST_14276_PI416261804,98,ADAM8,ADAM metallopeptidase domain 8,101.0,10
102,CUST_15730_PI416261804,99,ADAM10,ADAM metallopeptidase domain 10,102.0,15
103,A_24_P362317,100,ADAR,"adenosine deaminase, RNA-specific",103.0,1
104,A_23_P211207,101,ADARB1,"adenosine deaminase, RNA-specific, B1",104.0,21
105,A_23_P86751,102,ADARB2,"adenosine deaminase, RNA-specific, B2",105.0,10
107,A_24_P577694,104,ADCY1,adenylate cyclase 1 (brain),107.0,7
108,A_23_P33539,105,ADCY2,adenylate cyclase 2 (brain),108.0,5
109,CUST_10952_PI416261804,106,ADCY3,adenylate cyclase 3,109.0,2
111,A_23_P136623,108,ADCY5,adenylate cyclase 5,111.0,3
112,A_23_P501547,109,ADCY6,adenylate cyclase 6,112.0,12
113,A_24_P416177,110,ADCY7,adenylate cyclase 7,113.0,16
114,A_23_P169993,111,ADCY8,adenylate cyclase 8 (brain),114.0,8
115,A_24_P935103,112,ADCY9,adenylate cyclase 9,115.0,16
116,A_24_P335781,113,ADCYAP1,adenylate cyclase activating polypeptide 1 (pituitary),116.0,18
117,A_23_P157109,114,ADCYAP1R1,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I,117.0,7
118,A_23_P212768,115,ADD1,adducin 1 (alpha),118.0,4
119,CUST_11756_PI416261804,116,ADD2,adducin 2 (beta),119.0,2
120,A_24_P90097,117,ADD3,adducin 3 (gamma),120.0,10
123,A_23_P134953,120,ADFP,perilipin 2,123.0,9
124,A_23_P58359,121,ADH1C,"alcohol dehydrogenase 1A (class I), alpha polypeptide",124.0,4
125,CUST_16739_PI416261804,122,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125.0,4
126,A_23_P81158,123,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",126.0,4
127,CUST_16977_PI416261804,124,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",127.0,4
128,A_32_P199725,125,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",128.0,4
130,A_23_P41498,127,ADH6,alcohol dehydrogenase 6 (class V),130.0,4
131,A_23_P92562,128,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",131.0,4
132,CUST_9092_PI416261804,129,ADK,adenosine kinase,132.0,10
133,A_23_P127948,130,ADM,adrenomedullin,133.0,11
134,A_23_P74299,131,ADORA1,adenosine A1 receptor,134.0,1
135,A_23_P109436,132,ADORA2A,adenosine A2a receptor,135.0,22
136,A_23_P55477,133,ADORA2B,adenosine A2b receptor,136.0,17
140,A_23_P126540,137,ADORA3,adenosine A3 receptor,140.0,1
141,A_23_P408070,138,ADPRH,ADP-ribosylarginine hydrolase,141.0,3
142,A_23_P114783,139,PARP1,poly (ADP-ribose) polymerase 1,142.0,1
143,A_23_P117175,140,PARP4,"poly (ADP-ribose) polymerase family, member 4",143.0,13
146,A_23_P131924,143,ADRA1D,adrenoceptor alpha 1D,146.0,20
147,A_23_P33326,144,ADRA1B,adrenoceptor alpha 1B,147.0,5
148,CUST_16181_PI416261804,145,ADRA1A,adrenoceptor alpha 1A,148.0,8
150,A_23_P138706,147,ADRA2A,adrenoceptor alpha 2A,150.0,10
151,CUST_66_PI416408490,148,ADRA2B,adrenoceptor alpha 2B,151.0,2
152,A_23_P256158,149,ADRA2C,adrenoceptor alpha 2C,152.0,4
153,A_23_P52240,150,ADRB1,adrenoceptor beta 1,153.0,10
154,A_23_P145024,151,ADRB2,"adrenoceptor beta 2, surface",154.0,5
155,A_23_P168993,152,ADRB3,adrenoceptor beta 3,155.0,8
156,A_24_P326635,153,ADRBK1,"adrenergic, beta, receptor kinase 1",156.0,11
157,A_23_P251686,154,ADRBK2,"adrenergic, beta, receptor kinase 2",157.0,22
158,A_23_P155103,155,ADSL,adenylosuccinate lyase,158.0,22
159,A_23_P859,156,ADSS,adenylosuccinate synthase,159.0,1
160,A_23_P4885,157,AP2A1,"adaptor-related protein complex 2, alpha 1 subunit",160.0,19
161,A_24_P932418,158,AP2A2,"adaptor-related protein complex 2, alpha 2 subunit",161.0,11
162,CUST_6227_PI416261804,159,AP1B1,"adaptor-related protein complex 1, beta 1 subunit",162.0,22
163,A_23_P55149,160,AP2B1,"adaptor-related protein complex 2, beta 1 subunit",163.0,17
164,A_24_P381962,161,AP1G1,"adaptor-related protein complex 1, gamma 1 subunit",164.0,16
165,A_23_P157299,162,AEBP1,AE binding protein 1,165.0,7
166,A_23_P165061,163,AES,amino-terminal enhancer of split,166.0,19
167,CUST_1468_PI416261804,164,CRISP1,cysteine-rich secretory protein 1,167.0,6
172,A_23_P355289,169,AFG3L1P,"AFG3 ATPase family gene 3-like 1 (S. cerevisiae), pseudogene",172.0,16
173,CUST_11726_PI416261804,170,AFM,afamin,173.0,4
174,A_23_P58205,171,AFP,alpha-fetoprotein,174.0,4
175,A_23_P7099,172,AGA,aspartylglucosaminidase,175.0,4
176,A_23_P307310,173,ACAN,aggrecan,176.0,15
177,CUST_13400_PI416261804,174,AGER,advanced glycosylation end product-specific receptor,177.0,6
178,CUST_14561_PI416261804,175,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",178.0,1
181,A_23_P502320,178,AGRP,agouti related protein homolog (mouse),181.0,16
182,A_23_P210763,179,JAG1,jagged 1,182.0,20
183,A_23_P115261,180,AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",183.0,1
185,A_23_P166616,182,AGTR1,"angiotensin II receptor, type 1",185.0,3
186,A_23_P62309,183,AGTR2,"angiotensin II receptor, type 2",186.0,X
187,CUST_14456_PI416261804,184,APLNR,apelin receptor,187.0,11
189,CUST_439_PI417507815,186,AGXT,alanine-glyoxylate aminotransferase,189.0,2
190,A_23_P73632,187,NR0B1,"nuclear receptor subfamily 0, group B, member 1",190.0,X
191,A_23_P17575,188,AHCY,adenosylhomocysteinase,191.0,20
196,A_23_P215566,193,AHR,aryl hydrocarbon receptor,196.0,7
197,A_23_P155509,194,AHSG,alpha-2-HS-glycoprotein,197.0,3
199,A_23_P214627,196,AIF1,allograft inflammatory factor 1,199.0,6
202,CUST_9225_PI416261804,199,AIM1,absent in melanoma 1,202.0,6
203,A_23_P217088,200,AK1,adenylate kinase 1,203.0,9
204,A_24_P179903,201,AK2,adenylate kinase 2,204.0,1
205,A_32_P108655,202,AK3L1,adenylate kinase 4,205.0,1
207,CUST_16917_PI416261804,204,AKT1,v-akt murine thymoma viral oncogene homolog 1,207.0,14
208,A_24_P359267,205,AKT2,v-akt murine thymoma viral oncogene homolog 2,208.0,19
210,A_23_P324278,207,ALAD,aminolevulinate dehydratase,210.0,9
211,A_24_P191588,208,ALAS1,"aminolevulinate, delta-, synthase 1",211.0,3
212,A_32_P385587,209,ALAS2,"aminolevulinate, delta-, synthase 2",212.0,X
213,A_23_P257834,210,ALB,albumin,213.0,4
214,A_23_P41227,211,ALCAM,activated leukocyte cell adhesion molecule,214.0,3
215,A_23_P148556,212,ABCD1,"ATP-binding cassette, sub-family D (ALD), member 1",215.0,X
216,A_23_P83098,213,ALDH1A1,"aldehyde dehydrogenase 1 family, member A1",216.0,9
217,A_23_P36745,214,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),217.0,12
218,CUST_16412_PI416261804,215,ALDH3A1,"aldehyde dehydrogenase 3 family, member A1",218.0,17
219,A_24_P64233,216,ALDH1B1,"aldehyde dehydrogenase 1 family, member B1",219.0,9
220,A_23_P205959,217,ALDH1A3,"aldehyde dehydrogenase 1 family, member A3",220.0,15
221,A_24_P218688,218,ALDH3B1,"aldehyde dehydrogenase 3 family, member B1",221.0,11
222,CUST_15717_PI416261804,219,ALDH3B2,"aldehyde dehydrogenase 3 family, member B2",222.0,11
223,A_24_P385280,220,ALDH9A1,"aldehyde dehydrogenase 9 family, member A1",223.0,1
224,CUST_16430_PI416261804,221,ALDH3A2,"aldehyde dehydrogenase 3 family, member A2",224.0,17
225,CUST_16263_PI416261804,222,ABCD2,"ATP-binding cassette, sub-family D (ALD), member 2",225.0,12
226,A_24_P921584,223,ALDOA,"aldolase A, fructose-bisphosphate",226.0,16
229,A_23_P415974,226,ALDOB,"aldolase B, fructose-bisphosphate",229.0,9
230,A_23_P78108,227,ALDOC,"aldolase C, fructose-bisphosphate",230.0,17
231,A_23_P258190,228,AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)",231.0,7
238,A_23_P324304,235,ALK,anaplastic lymphoma receptor tyrosine kinase,238.0,2
239,A_23_P152909,236,ALOX12,arachidonate 12-lipoxygenase,239.0,17
240,A_23_P104464,237,ALOX5,arachidonate 5-lipoxygenase,240.0,10
241,A_23_P2793,238,ALOX5AP,arachidonate 5-lipoxygenase-activating protein,241.0,13
242,A_23_P83634,239,ALOX12B,"arachidonate 12-lipoxygenase, 12R type",242.0,17
245,A_32_P440768,242,ALOX12P2,arachidonate 12-lipoxygenase pseudogene 2,245.0,17
246,A_24_P931250,243,ALOX15,arachidonate 15-lipoxygenase,246.0,17
247,A_23_P60627,244,ALOX15B,"arachidonate 15-lipoxygenase, type B",247.0,17
248,A_23_P337658,245,ALPI,"alkaline phosphatase, intestinal",248.0,2
249,A_24_P353619,246,ALPL,"alkaline phosphatase, liver/bone/kidney",249.0,1
250,A_23_P79587,247,ALPP,"alkaline phosphatase, placental",250.0,2
251,A_24_P131580,248,ALPPL2,"alkaline phosphatase, placental-like 2",251.0,2
257,CUST_8422_PI416261804,254,ALX3,ALX homeobox 3,257.0,1
258,CUST_7274_PI416261804,255,AMBN,ameloblastin (enamel matrix protein),258.0,4
259,CUST_6370_PI416261804,256,AMBP,alpha-1-microglobulin/bikunin precursor,259.0,9
262,A_23_P214121,259,AMD1,adenosylmethionine decarboxylase 1,262.0,6
265,CUST_16963_PI416261804,262,AMELX,"amelogenin, X-linked",265.0,X
266,CUST_10410_PI416261804,263,AMELY,"amelogenin, Y-linked",266.0,Y
267,A_24_P135444,264,AMFR,"autocrine motility factor receptor, E3 ubiquitin protein ligase",267.0,16
268,A_23_P78944,265,AMH,anti-Mullerian hormone,268.0,19
269,CUST_9921_PI416261804,266,AMHR2,"anti-Mullerian hormone receptor, type II",269.0,12
270,A_23_P51787,267,AMPD1,adenosine monophosphate deaminase 1,270.0,1
271,A_23_P201596,268,AMPD2,adenosine monophosphate deaminase 2,271.0,1
272,A_23_P116286,269,AMPD3,adenosine monophosphate deaminase 3,272.0,11
273,A_23_P31273,270,AMPH,amphiphysin,273.0,7
274,A_24_P156993,271,BIN1,bridging integrator 1,274.0,2
275,A_23_P257164,272,AMT,aminomethyltransferase,275.0,3
277,CUST_7666_PI416261804,274,AMY1B,"amylase, alpha 1B (salivary)",277.0,1
279,CUST_4616_PI416261804,276,AMY2A,"amylase, alpha 2A (pancreatic)",279.0,1
283,A_23_P428738,280,ANG,"angiogenin, ribonuclease, RNase A family, 5",283.0,14
284,A_24_P60887,281,ANGPT1,angiopoietin 1,284.0,8
285,A_23_P60079,282,ANGPT2,angiopoietin 2,285.0,8
286,A_23_P216108,283,ANK1,"ankyrin 1, erythrocytic",286.0,8
287,CUST_12086_PI416261804,284,ANK2,"ankyrin 2, neuronal",287.0,4
288,A_23_P301530,285,ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",288.0,10
290,A_23_P88626,287,ANPEP,alanyl (membrane) aminopeptidase,290.0,15
291,A_24_P206047,288,SLC25A4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",291.0,4
292,A_23_P137057,289,SLC25A5,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5",292.0,X
293,A_23_P33752,290,SLC25A6,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6",293.0,X|Y
301,A_23_P94501,298,ANXA1,annexin A1,301.0,9
302,A_32_P94798,299,ANXA2,annexin A2,302.0,15
303,A_24_P204244,300,ANXA2P1,annexin A2 pseudogene 1,303.0,4
305,A_32_P148345,302,ANXA2P3,annexin A2 pseudogene 3,305.0,10
306,CUST_1074_PI416261804,303,ANXA3,annexin A3,306.0,4
307,A_23_P16976,304,ANXA4,annexin A4,307.0,2
308,A_23_P69720,305,ANXA5,annexin A5,308.0,4
309,A_23_P357104,306,ANXA6,annexin A6,309.0,5
310,A_23_P86570,307,ANXA7,annexin A7,310.0,10
311,A_23_P35399,308,ANXA11,annexin A11,311.0,10
312,A_23_P60009,309,ANXA13,annexin A13,312.0,8
313,CUST_7703_PI416261804,310,AOAH,acyloxyacyl hydrolase (neutrophil),313.0,7
314,A_23_P4133,311,AOC2,"amine oxidase, copper containing 2 (retina-specific)",314.0,17
316,CUST_7899_PI416261804,313,AOX1,aldehyde oxidase 1,316.0,2
317,CUST_1241_PI416573500,314,APAF1,apoptotic peptidase activating factor 1,317.0,12
318,A_23_P112478,315,NUDT2,nudix (nucleoside diphosphate linked moiety X)-type motif 2,318.0,9
319,A_23_P87491,316,APOF,apolipoprotein F,319.0,12
320,A_23_P216806,317,APBA1,"amyloid beta (A4) precursor protein-binding, family A, member 1",320.0,9
321,A_23_P146849,318,APBA2,"amyloid beta (A4) precursor protein-binding, family A, member 2",321.0,15
322,A_23_P1998,319,APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",322.0,11
323,A_23_P10701,320,APBB2,"amyloid beta (A4) precursor protein-binding, family B, member 2",323.0,4
324,A_24_P918740,321,APC,adenomatous polyposis coli,324.0,5
325,CUST_14436_PI416261804,322,APCS,"amyloid P component, serum",325.0,1
326,A_23_P68740,323,AIRE,autoimmune regulator,326.0,21
327,A_24_P208794,324,APEH,N-acylaminoacyl-peptide hydrolase,327.0,3
328,A_23_P151649,325,APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,328.0,14
329,A_24_P115774,326,BIRC2,baculoviral IAP repeat containing 2,329.0,11
330,A_23_P98350,327,BIRC3,baculoviral IAP repeat containing 3,330.0,11
331,A_23_P22460,328,XIAP,X-linked inhibitor of apoptosis,331.0,X
332,A_23_P118815,329,BIRC5,baculoviral IAP repeat containing 5,332.0,17
333,A_23_P27983,330,APLP1,amyloid beta (A4) precursor-like protein 1,333.0,19
334,A_23_P202939,331,APLP2,amyloid beta (A4) precursor-like protein 2,334.0,11
335,CUST_16581_PI416261804,332,APOA1,apolipoprotein A-I,335.0,11
336,A_24_P302249,333,APOA2,apolipoprotein A-II,336.0,1
337,A_24_P252934,334,APOA4,apolipoprotein A-IV,337.0,11
338,A_24_P935147,335,APOB,apolipoprotein B (including Ag(x) antigen),338.0,2
339,CUST_4711_PI416261804,336,APOBEC1,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",339.0,12
341,CUST_82_PI416408490,338,APOC1,apolipoprotein C-I,341.0,19
343,A_23_P26522,340,AQP8,aquaporin 8,343.0,16
344,CUST_15000_PI416261804,341,APOC4,apolipoprotein C-II,344.0,19
345,CUST_15002_PI416261804,342,APOC3,apolipoprotein C-III,345.0,11
346,CUST_15021_PI416261804,343,APOC4,apolipoprotein C-IV,346.0,19
347,A_23_P136777,344,APOD,apolipoprotein D,347.0,3
348,A_23_P164650,345,APOE,apolipoprotein E,348.0,19
350,A_23_P38244,347,APOH,apolipoprotein H (beta-2-glycoprotein I),350.0,17
351,A_24_P314159,348,APP,amyloid beta (A4) precursor protein,351.0,21
353,A_23_P117955,350,APRT,adenine phosphoribosyltransferase,353.0,16
354,CUST_1338_PI416573500,351,KLK3,kallikrein-related peptidase 3,354.0,19
355,CUST_16826_PI416261804,352,FAS,"Fas (TNF receptor superfamily, member 6)",355.0,10
356,A_24_P54220,353,FASLG,"Fas ligand (TNF superfamily, member 6)",356.0,1
357,A_23_P217755,354,SHROOM2,shroom family member 2,357.0,X
358,A_23_P372834,355,AQP1,aquaporin 1 (Colton blood group),358.0,7
359,A_24_P172685,356,AQP2,aquaporin 2 (collecting duct),359.0,12
360,A_23_P112481,357,AQP3,aquaporin 3 (Gill blood group),360.0,9
361,A_23_P107565,358,AQP4,aquaporin 4,361.0,18
362,A_23_P117104,359,AQP5,aquaporin 5,362.0,12
363,A_23_P502060,360,AQP6,"aquaporin 6, kidney specific",363.0,12
364,A_23_P158041,361,AQP7,aquaporin 7,364.0,9
366,A_23_P106362,363,AQP9,aquaporin 9,366.0,15
367,A_23_P113111,364,AR,androgen receptor,367.0,X
368,A_23_P15272,365,ABCC6,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",368.0,16
369,A_23_P73511,366,ARAF,v-raf murine sarcoma 3611 viral oncogene homolog,369.0,X
372,A_23_P203103,369,ARCN1,archain 1,372.0,11
373,A_23_P167384,370,TRIM23,tripartite motif containing 23,373.0,5
374,CUST_2894_PI416261804,371,AREG,amphiregulin,374.0,4
375,A_24_P190894,372,ARF1,ADP-ribosylation factor 1,375.0,1
377,A_24_P256307,374,ARF3,ADP-ribosylation factor 3,377.0,12
378,A_23_P431789,375,ARF4,ADP-ribosylation factor 4,378.0,3
379,A_24_P125273,376,ARL4D,ADP-ribosylation factor-like 4D,379.0,17
381,A_24_P394702,378,ARF5,ADP-ribosylation factor 5,381.0,7
382,A_23_P48691,379,ARF6,ADP-ribosylation factor 6,382.0,14
383,A_23_P111321,380,ARG1,"arginase, liver",383.0,6
384,A_23_P14284,381,ARG2,"arginase, type II",384.0,14
387,A_23_P69491,384,RHOA,ras homolog family member A,387.0,3
388,CUST_13512_PI416261804,385,RHOB,ras homolog family member B,388.0,2
389,A_23_P12514,386,RHOC,ras homolog family member C,389.0,1
390,A_23_P142849,387,RND3,Rho family GTPase 3,390.0,2
391,CUST_1227_PI416261804,388,RHOG,ras homolog family member G,391.0,11
392,A_23_P314070,389,ARHGAP1,Rho GTPase activating protein 1,392.0,11
393,A_23_P159927,390,ARHGAP4,Rho GTPase activating protein 4,393.0,X
394,CUST_3202_PI416261804,391,ARHGAP5,Rho GTPase activating protein 5,394.0,14
395,A_23_P217428,392,ARHGAP6,Rho GTPase activating protein 6,395.0,X
396,A_23_P207766,393,ARHGDIA,Rho GDP dissociation inhibitor (GDI) alpha,396.0,17
397,A_23_P151075,394,ARHGDIB,Rho GDP dissociation inhibitor (GDI) beta,397.0,12
398,A_24_P215882,395,ARHGDIG,Rho GDP dissociation inhibitor (GDI) gamma,398.0,16
399,A_23_P58132,396,RHOH,ras homolog family member H,399.0,4
400,A_24_P338648,397,ARL1,ADP-ribosylation factor-like 1,400.0,12
401,A_24_P215445,398,PHOX2A,paired-like homeobox 2a,401.0,11
402,A_23_P98252,399,ARL2,ADP-ribosylation factor-like 2,402.0,11
403,A_23_P63711,400,ARL3,ADP-ribosylation factor-like 3,403.0,10
405,A_23_P550,402,ARNT,aryl hydrocarbon receptor nuclear translocator,405.0,1
406,A_23_P162037,403,ARNTL,aryl hydrocarbon receptor nuclear translocator-like,406.0,11
407,A_24_P344976,404,ARR3,"arrestin 3, retinal (X-arrestin)",407.0,X
408,CUST_10013_PI416261804,405,ARRB1,"arrestin, beta 1",408.0,11
409,A_23_P158829,406,ARRB2,"arrestin, beta 2",409.0,17
410,A_23_P255436,407,ARSA,arylsulfatase A,410.0,22
411,A_24_P205213,408,ARSB,arylsulfatase B,411.0,5
412,A_24_P331560,409,STS,"steroid sulfatase (microsomal), isozyme S",412.0,X
414,A_23_P217712,411,ARSD,arylsulfatase D,414.0,X
415,A_23_P256084,412,ARSE,arylsulfatase E (chondrodysplasia punctata 1),415.0,X
416,A_23_P304304,413,ARSF,arylsulfatase F,416.0,X
417,CUST_8024_PI416261804,414,ART1,ADP-ribosyltransferase 1,417.0,11
419,A_23_P80918,416,ART3,ADP-ribosyltransferase 3,419.0,4
420,CUST_7868_PI416261804,417,ART4,ADP-ribosyltransferase 4 (Dombrock blood group),420.0,12
421,A_24_P416961,418,ARVCF,armadillo repeat gene deleted in velocardiofacial syndrome,421.0,22
427,A_23_P216325,424,ASAH1,N-acylsphingosine amidohydrolase (acid ceramidase) 1,427.0,8
429,A_23_P25305,426,ASCL1,achaete-scute complex homolog 1 (Drosophila),429.0,12
430,A_32_P171061,427,ASCL2,achaete-scute complex homolog 2 (Drosophila),430.0,11
432,A_23_P118722,429,ASGR1,asialoglycoprotein receptor 1,432.0,17
433,A_23_P130113,430,ASGR2,asialoglycoprotein receptor 2,433.0,17
434,CUST_16829_PI416261804,431,ASIP,agouti signaling protein,434.0,20
435,A_23_P26223,432,ASL,argininosuccinate lyase,435.0,7
438,A_23_P255535,435,ASMT,acetylserotonin O-methyltransferase,438.0,X|Y
439,A_23_P27627,436,ASNA1,"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)",439.0,19
440,A_23_P145694,437,ASNS,asparagine synthetase (glutamine-hydrolyzing),440.0,7
443,A_23_P164436,440,ASPA,aspartoacylase,443.0,17
444,A_24_P295245,441,ASPH,aspartate beta-hydroxylase,444.0,8
445,A_23_P31921,442,ASS1,argininosuccinate synthase 1,445.0,9
460,A_23_P301021,457,ASTN1,astrotactin 1,460.0,1
462,A_23_P114626,459,SERPINC1,"serpin peptidase inhibitor, clade C (antithrombin), member 1",462.0,1
463,A_23_P118266,460,ATBF1,zinc finger homeobox 3,463.0,16
466,CUST_9009_PI416261804,463,ATF1,activating transcription factor 1,466.0,12
467,A_23_P34915,464,ATF3,activating transcription factor 3,467.0,1
468,A_23_P120933,465,ATF4,activating transcription factor 4 (tax-responsive enhancer element B67),468.0,22
471,A_23_P68087,468,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,471.0,2
473,A_23_P85414,470,RERE,arginine-glutamic acid dipeptide (RE) repeats,473.0,1
474,CUST_16165_PI416261804,471,ATOH1,atonal homolog 1 (Drosophila),474.0,4
475,A_23_P144877,472,ATOX1,ATX1 antioxidant protein 1 homolog (yeast),475.0,5
476,A_23_P1072,473,ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",476.0,1
477,A_23_P148879,474,ATP1A2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",477.0,1
478,A_23_P27472,475,ATP1A3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",478.0,19
479,A_23_P87982,476,ATP12A,"ATPase, H+/K+ transporting, nongastric, alpha polypeptide",479.0,13
